"marker"	"OBO.Ontology.ID"	"species"	"times"	"cell_ID"	"gene_description"	"original_celltype.MSigDB"	"original_celltype.PanglaoDB"	"original_celltype.CellMarker"	"original_celltype.GeneMarkeR"	"original_celltype.Azimuth"	"original_celltype.ASCTB"
"MYCT1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"MYC target 1 "	"PUTATIVE EARLY ERYTHROID COMMITMENT"	NA	NA	NA	NA	NA
"MYCT1"	"hematopoietic lineage restricted progenitor cell"	"Human"	1	"CL:0002031"	"MYC target 1 "	"CD34 POS HSC"	NA	NA	NA	NA	NA
"MYCT1"	"hematopoietic stem cell"	"Human"	2	"CL:0000037"	"MYC target 1 "	"SIMILAR TO HSC C6 PUTATIVE ALTERED METABOLIC STATE"	"Hematopoietic stem cells"	NA	NA	NA	NA
"MYCT1"	"megakaryocyte-erythroid progenitor cell"	"Human"	1	"CL:0000050"	"MYC target 1 "	NA	NA	NA	NA	"Erythroid Megakaryocyte Progenitor"	NA
"MYD88"	"monocyte"	"Human"	1	"CL:0000576"	"MYD88 innate immune signal transduction adaptor "	"MONOCYTE"	NA	NA	NA	NA	NA
"MYDGF"	"plasma cell"	"Human"	1	"CL:0000786"	"myeloid derived growth factor "	"PLASMA CELL"	NA	NA	NA	NA	NA
"MYEOV"	"platelet"	"Human"	1	"CL:0000233"	"myeloma overexpressed "	"PLATELET"	NA	NA	NA	NA	NA
"MYH10"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"myosin heavy chain 10 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MYH10"	"megakaryocyte-erythroid progenitor cell"	"Human"	1	"CL:0000050"	"myosin heavy chain 10 "	"MEGAKARYOCYTE ERYTHROID PROGENITOR"	NA	NA	NA	NA	NA
"MYH7"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"myosin heavy chain 7 "	"CD34 POS MKP"	NA	NA	NA	NA	NA
"MYH9"	"neutrophil"	"Human"	1	"CL:0000775"	"myosin heavy chain 9 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"MYL12A"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"myosin light chain 12A "	"PUTATIVE MEGAKARYOCYTE PROGENITOR"	NA	NA	NA	NA	NA
"MYL12A"	"megakaryocyte-erythroid progenitor cell"	"Human"	1	"CL:0000050"	"myosin light chain 12A "	"MEGAKARYOCYTE ERYTHROID PROGENITOR"	NA	NA	NA	NA	NA
